,tconst,title,runtime_minutes,genres,averagerating,numvotes,release_date,studio,domestic_gross,foreign_gross
1332,tt1194173,The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678.0,2012-08-10,Uni.,113200000.0,162900000
1333,tt1194417,Casino Jack,108.0,"Biography,Comedy,Crime",6.2,16191.0,2010-12-17,ATO,1000000.0,40700
1335,tt1195478,The Five-Year Engagement,124.0,"Comedy,Romance",6.2,88469.0,2012-04-27,Uni.,28800000.0,25100000
1338,tt1196141,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640.0,2010-03-19,Fox,64000000.0,11700000
1343,tt1196340,Inhale,83.0,"Drama,Thriller",6.6,6006.0,2010-10-01,IFC,4100.0,51000
1346,tt1196956,One Chance,103.0,"Biography,Comedy,Drama",6.8,10677.0,2014-08-29,Wein.,101000.0,10800000
1347,tt1198101,Kites,123.0,"Action,Drama,Romance",6.1,11353.0,2010-05-21,Relbig.,1600000.0,1300000
1357,tt1204342,The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752.0,2011-11-23,BV,88600000.0,76600000
1358,tt1204975,Last Vegas,105.0,"Comedy,Drama",6.6,121409.0,2013-11-01,CBS,63900000.0,70500000
1359,tt1204977,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054.0,2014-10-24,Uni.,50900000.0,52700000
1360,tt1205537,Jack Ryan: Shadow Recruit,105.0,"Action,Drama,Thriller",6.2,114913.0,2014-01-17,Par.,50600000.0,84900000
1363,tt1206543,Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037.0,2013-12-06,Rela.,11300000.0,4300000
1369,tt1210166,Moneyball,133.0,"Biography,Drama,Sport",7.6,326657.0,2011-09-22,Sony,75600000.0,34600000
1370,tt1210819,The Lone Ranger,150.0,"Action,Adventure,Western",6.4,208827.0,2013-07-03,BV,89300000.0,171200000
1372,tt1211837,Doctor Strange,115.0,"Action,Adventure,Fantasy",7.5,514510.0,2016-11-04,BV,232600000.0,445100000
1376,tt1211956,Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587.0,2013-10-18,LG/S,25100000.0,112200000
1378,tt1212419,Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288.0,2010-10-22,WB,32700000.0,72500000
1379,tt1212428,The Lost City of Z,141.0,"Adventure,Biography,Drama",6.6,66475.0,2017-04-21,BST,8600000.0,10700000
1382,tt1212450,Lawless,116.0,"Crime,Drama",7.3,214055.0,2012-08-29,Wein.,37400000.0,16300000
1384,tt1213012,Alpha and Omega,90.0,"Adventure,Animation,Comedy",5.3,12463.0,2010-09-17,LGF,25100000.0,25400000
1391,tt1213641,First Man,141.0,"Biography,Drama,History",7.4,120009.0,2018-10-12,Uni.,44900000.0,60800000
1393,tt1213648,London Boulevard,103.0,"Crime,Drama",6.2,44610.0,2010-11-12,IFC,16100.0,4600000
1394,tt1213663,The World's End,109.0,"Action,Comedy,Sci-Fi",7.0,235308.0,2013-08-23,Focus,26000000.0,20100000
1395,tt1214962,Seeking Justice,105.0,"Action,Crime,Drama",6.2,42846.0,2012-03-16,Anch.,412000.0,11900000
1397,tt1216475,Cars 2,106.0,"Adventure,Animation,Comedy",6.2,138914.0,2011-06-16,BV,191500000.0,370700000
1399,tt1216492,Leap Year,100.0,"Comedy,Romance",6.5,86125.0,2010-01-08,Uni.,25900000.0,6700000
1405,tt1217209,Brave,93.0,"Adventure,Animation,Comedy",7.1,338728.0,2010-01-19,BV,237300000.0,303200000
1409,tt1219289,Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490.0,2011-03-08,Rela.,79200000.0,82600000
1412,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790.0,2010-09-24,WB,55700000.0,84400000
1434,tt1220634,Resident Evil: Afterlife,96.0,"Action,Adventure,Horror",5.9,153270.0,2010-09-10,SGem,60100000.0,240100000
1435,tt1220888,Henry's Crime,108.0,"Comedy,Crime,Drama",6.0,17764.0,2011-04-08,MPFT,103000.0,102000
1442,tt1222815,Chimpanzee,78.0,Documentary,7.2,5539.0,2012-04-20,BV,29000000.0,5900000
1443,tt1222817,Zookeeper,102.0,"Comedy,Family,Romance",5.2,52396.0,2011-07-08,Sony,80400000.0,89500000
1444,tt1223236,African Cats,89.0,"Adventure,Documentary",7.6,5784.0,2011-04-22,BV,15400000.0,15400000
1452,tt1226229,Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,161653.0,2010-06-04,Uni.,61000000.0,30300000
1454,tt1226273,Edge of Darkness,117.0,"Crime,Drama,Mystery",6.6,84753.0,2010-01-29,WB,43300000.0,37800000
1457,tt1226753,The Debt,113.0,"Drama,Thriller",6.9,61046.0,2011-08-31,Focus,31200000.0,14500000
1468,tt1228705,Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690.0,2010-05-07,Par.,312400000.0,311500000
1469,tt1228987,Let Me In,116.0,"Drama,Fantasy,Horror",7.1,107012.0,2010-10-01,Over.,12100000.0,12000000
1473,tt1229238,Mission: Impossible - Ghost Protocol,132.0,"Action,Adventure,Thriller",7.4,428142.0,2011-12-21,Par.,209400000.0,485300000
1474,tt1229340,Anchorman 2: The Legend Continues,119.0,Comedy,6.3,156116.0,2013-12-18,Par.,125200000.0,46300000
1476,tt1229822,Jane Eyre,120.0,"Drama,Romance",7.4,74998.0,2011-03-11,Focus,11200000.0,23500000
1477,tt2126235,Collide,99.0,"Action,Crime,Thriller",5.7,13288.0,2017-02-24,ORF,2300000.0,2500000
1488,tt1231583,Due Date,95.0,"Adventure,Comedy",6.5,303523.0,2010-11-04,WB,100500000.0,111200000
1490,tt1231587,Hot Tub Time Machine,101.0,"Comedy,Sci-Fi",6.4,153962.0,2010-03-26,MGM,50300000.0,14300000
1491,tt1232200,That's My Boy,116.0,Comedy,5.6,83009.0,2012-06-15,Sony,36900000.0,20800000
1498,tt1232829,21 Jump Street,109.0,"Action,Comedy,Crime",7.2,477771.0,2012-03-12,Sony,138400000.0,63100000
1500,tt1233192,Brighton Rock,111.0,"Crime,Drama,Thriller",5.7,5784.0,2011-08-26,IFC,230000.0,1600000
1504,tt1234654,Greenberg,107.0,"Comedy,Drama,Romance",6.1,33702.0,2010-03-26,Focus,4200000.0,1900000
1512,tt1235189,Wild Target,98.0,"Action,Comedy,Crime",6.8,33915.0,2010-10-29,Free,109000.0,3300000
1517,tt1235830,Chico & Rita,94.0,"Animation,Crime,Drama",7.2,7992.0,2012-02-10,GK,351000.0,1900000
1521,tt1236371,Mysteries of Lisbon,272.0,"Drama,Mystery,Romance",7.5,2928.0,2011-08-05,MBox,111000.0,14900
1534,tt1240982,Your Highness,102.0,"Adventure,Comedy,Fantasy",5.5,92940.0,2010-01-01,Uni.,21600000.0,3300000
1542,tt1242432,I Spit on Your Grave,108.0,"Horror,Thriller",6.3,68592.0,2010-10-08,Anch.,93100.0,480000
1543,tt1242460,We Need to Talk About Kevin,112.0,"Drama,Mystery,Thriller",7.5,123619.0,2011-12-09,Osci.,1700000.0,4300000
1549,tt1243957,The Tourist,103.0,"Action,Adventure,Thriller",6.0,206714.0,2010-12-10,Sony,67600000.0,210700000
1550,tt1243974,Aloha,105.0,"Comedy,Drama,Romance",5.4,54646.0,2015-05-29,Sony,21100000.0,5200000
1553,tt1244659,Extraordinary Measures,106.0,Drama,6.5,15673.0,2010-01-21,CBS,12100000.0,3100000
1555,tt1244754,Conviction,107.0,"Biography,Crime,Drama",7.2,39771.0,2010-10-15,FoxS,6800000.0,2900000
1574,tt1247690,Serena,109.0,"Drama,History,Romance",5.4,24288.0,2012-05-22,Magn.,176000.0,4900000
1583,tt1250777,Kick-Ass,117.0,"Action,Comedy",7.6,497363.0,2010-04-16,LGF,48100000.0,48100000
1591,tt1253864,Immortals,110.0,"Action,Drama,Fantasy",6.0,152992.0,2011-11-11,Rela.,83500000.0,143400000
1599,tt1258972,The Man with the Iron Fists,95.0,Action,5.4,58185.0,2012-11-02,Uni.,15600000.0,4099999
1601,tt1259521,The Cabin in the Woods,95.0,Horror,7.0,338445.0,2012-04-12,LGF,42100000.0,24400000
1603,tt1259528,Den of Thieves,140.0,"Action,Crime,Drama",7.0,69648.0,2018-01-19,STX,44900000.0,35600000
1613,tt1261945,Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199.0,2010-05-27,WB (NL),95300000.0,193000000
1623,tt1262416,Scream 4,111.0,"Horror,Mystery",6.2,118779.0,2011-04-11,W/Dim.,38200000.0,59000000
1640,tt1265990,The Roommate,91.0,"Drama,Thriller",4.9,33062.0,2011-02-04,SGem,37300000.0,3200000
1643,tt1268204,Waste Land,99.0,Documentary,7.9,8007.0,2010-01-24,Arth.,188000.0,88700
1658,tt1270761,Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490.0,2010-11-06,FD,24000000.0,12900000
1664,tt1270798,X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930.0,2011-06-03,Fox,146400000.0,207200000
1667,tt1272878,2 Guns,109.0,"Action,Comedy,Crime",6.7,182025.0,2013-08-02,Uni.,75600000.0,56300000
1687,tt1273678,The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767.0,2010-01-15,LGF,24300000.0,20900000
1689,tt1274300,The Tempest,110.0,"Comedy,Drama,Fantasy",5.4,7073.0,2010-12-10,Mira.,278000.0,68700
1694,tt1276104,Looper,113.0,"Action,Crime,Drama",7.4,500595.0,2012-09-28,TriS,66500000.0,110000000
1695,tt1276419,A Royal Affair,137.0,"Biography,Drama,History",7.6,40993.0,2012-11-09,Magn.,1500000.0,6000000
1698,tt1277953,Madagascar 3: Europe's Most Wanted,93.0,"Adventure,Animation,Comedy",6.8,146858.0,2012-06-08,P/DW,216400000.0,530500000
1700,tt1278379,Jack Goes Boating,91.0,"Drama,Romance",6.4,7644.0,2010-09-23,Over.,542000.0,77600
1704,tt1279935,Date Night,88.0,"Comedy,Crime,Romance",6.3,144683.0,2010-04-08,Fox,98700000.0,53600000
1719,tt1282140,Easy A,92.0,"Comedy,Drama,Romance",7.1,330125.0,2010-09-17,SGem,58400000.0,16600000
1726,tt1284575,Bad Teacher,92.0,"Comedy,Romance",5.7,181189.0,2011-06-19,Sony,100300000.0,115900000
1728,tt1285016,The Social Network,120.0,"Biography,Drama",7.7,568578.0,2010-10-01,Sony,97000000.0,128000000
1733,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,82.0,"Action,Comedy,Family",4.3,12642.0,2010-07-30,WB,43600000.0,68900000
1734,tt1287878,Poetry,139.0,Drama,7.8,8682.0,2011-02-11,Kino,356000.0,1900000
1772,tt1291584,Warrior,140.0,"Drama,Sport",8.2,403755.0,2011-09-09,LGF,13700000.0,9400000
1776,tt1292566,How to Be Single,110.0,"Comedy,Drama,Romance",6.1,74329.0,2016-02-12,WB (NL),46800000.0,65500000
1784,tt1294226,The Last Song,107.0,"Drama,Music,Romance",6.0,74914.0,2010-03-31,BV,63000000.0,26100000
1785,tt1294688,Last Night,93.0,"Drama,Romance",6.6,44728.0,2010-09-18,Trib.,99000.0,7600000
1810,tt1298649,The Watch,102.0,"Action,Comedy,Horror",5.7,115757.0,2012-07-27,Fox,35400000.0,32900000
1811,tt1298650,Pirates of the Caribbean: On Stranger Tides,136.0,"Action,Adventure,Fantasy",6.6,447624.0,2011-05-20,BV,241100000.0,804600000
1814,tt1300854,Iron Man 3,130.0,"Action,Adventure,Sci-Fi",7.2,692794.0,2013-05-03,BV,409000000.0,805800000
1826,tt1302011,Kung Fu Panda 2,90.0,"Action,Adventure,Animation",7.2,228465.0,2011-05-25,P/DW,165200000.0,500400000
1828,tt1302067,Yogi Bear,80.0,"Adventure,Animation,Comedy",4.6,18934.0,2010-12-17,WB,100200000.0,101300000
1834,tt1305583,Our Family Wedding,103.0,"Comedy,Romance",4.9,6417.0,2010-03-12,FoxS,20300000.0,1200000
1835,tt1305591,Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823.0,2011-03-11,BV,21400000.0,17600000
1838,tt1306980,50/50,100.0,"Comedy,Drama,Romance",7.7,300475.0,2011-09-30,Sum.,35000000.0,4200000
1840,tt1307068,Seeking a Friend for the End of the World,101.0,"Adventure,Comedy,Drama",6.7,102047.0,2012-06-22,Focus,7100000.0,2600000
1851,tt1308728,The Happytime Murders,91.0,"Action,Comedy,Crime",5.3,16988.0,2018-08-24,STX,20700000.0,6800000
1869,tt1311075,The Human Resources Manager,103.0,"Comedy,Drama",6.6,1266.0,2011-03-04,FM,64000.0,329000
1874,tt1313092,Animal Kingdom,113.0,"Crime,Drama",7.3,51576.0,2010-08-13,SPC,1000000.0,5700000
1881,tt1314652,The Housemaid,106.0,"Drama,Thriller",6.5,8295.0,2017-06-15,IFC,158000.0,14600000
1883,tt1314655,Devil,80.0,"Horror,Mystery,Thriller",6.2,122080.0,2010-09-17,Uni.,33600000.0,29100000
1894,tt1318514,Rise of the Planet of the Apes,105.0,"Action,Drama,Sci-Fi",7.6,473020.0,2011-08-04,Fox,176800000.0,305000000
1902,tt1320244,The Last Exorcism,87.0,"Drama,Horror,Thriller",5.6,45815.0,2010-08-27,LGF,41000000.0,26700000
1903,tt1320253,The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897.0,2010-08-03,LGF,103100000.0,171400000
1904,tt1320261,Gulliver's Travels,85.0,"Adventure,Comedy,Family",4.9,61178.0,2010-12-25,Fox,42800000.0,194600000
1908,tt1321860,The Beaver,91.0,Drama,6.7,45173.0,2011-05-05,Sum.,971000.0,6300000
1915,tt1321870,Gangster Squad,113.0,"Action,Crime,Drama",6.7,195560.0,2013-01-11,WB,46000000.0,59200000
1920,tt1322269,August: Osage County,121.0,"Comedy,Drama",7.2,79383.0,2013-12-27,Wein.,37700000.0,36500000
1923,tt1322312,Going the Distance,102.0,"Comedy,Romance",6.3,54421.0,2010-09-03,WB (NL),17800000.0,24200000
1928,tt1323045,Frozen,93.0,"Adventure,Drama,Sport",6.2,62311.0,2010-02-05,BV,400700000.0,875700000
1935,tt1323594,Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511.0,2010-07-09,Uni.,251500000.0,291600000
1938,tt1324055,The Mill and the Cross,92.0,"Drama,History",7.0,3519.0,2011-03-18,KC,312000.0,30300
1940,tt1325004,The Twilight Saga: Eclipse,124.0,"Adventure,Drama,Fantasy",5.0,211733.0,2010-06-23,Sum.,300500000.0,398000000
1959,tt1327194,The Lucky One,101.0,"Drama,Romance",6.5,94359.0,2012-04-20,WB,60500000.0,38900000
1963,tt1327709,Cyrus,87.0,"Crime,Horror,Mystery",4.7,944.0,2010-06-18,FoxS,7500000.0,2500000
1982,tt1332134,King of Devil's Island,116.0,"Action,Drama",7.5,16289.0,2010-12-20,FM,7600.0,4200000
1983,tt1333125,Movie 43,94.0,Comedy,4.3,92980.0,2013-01-25,Rela.,8800000.0,23600000
1986,tt1334260,Never Let Me Go,103.0,"Drama,Romance,Sci-Fi",7.1,130084.0,2010-09-15,FoxS,2400000.0,7000000
2006,tt1335975,47 Ronin,128.0,"Action,Adventure,Drama",6.3,135754.0,2013-12-25,Uni.,38400000.0,113400000
2016,tt1336608,Rock of Ages,123.0,"Comedy,Drama,Musical",5.9,69910.0,2012-06-15,WB (NL),38500000.0,20900000
2029,tt1339161,The Robber,90.0,"Biography,Crime,Drama",6.8,4130.0,2011-04-29,Kino,83500.0,125000
2045,tt1340107,In a Better World,118.0,"Drama,Romance",7.6,36553.0,2011-04-01,SPC,1000000.0,8600000
2055,tt1341167,Four Lions,97.0,"Comedy,Crime,Drama",7.3,66209.0,2010-11-05,Drft.,305000.0,4400000
2056,tt1341188,How Do You Know,121.0,"Comedy,Drama,Romance",5.4,41072.0,2010-12-17,Sony,30200000.0,18500000
2071,tt1343727,Dredd,95.0,"Action,Crime,Sci-Fi",7.1,234616.0,2012-09-21,LGF,13400000.0,22200000
2093,tt1345836,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769.0,2012-07-20,WB,448100000.0,636800000
2095,tt1349451,Butter,90.0,"Comedy,Drama",6.2,19447.0,2011-09-04,RTWC,105000.0,70700
2117,tt1351685,Jack the Giant Slayer,114.0,"Adventure,Fantasy",6.3,123127.0,2013-03-01,WB (NL),65200000.0,132500000
2120,tt1355630,If I Stay,107.0,"Drama,Fantasy,Music",6.8,107625.0,2014-08-22,WB (NL),50500000.0,28400000
2122,tt1355638,The Rabbi's Cat,100.0,"Animation,Comedy,Fantasy",7.2,2931.0,2012-12-14,GK,23400.0,3700000
2125,tt1355683,Black Mass,123.0,"Biography,Crime,Drama",6.9,155847.0,2015-09-18,WB,62600000.0,37200000
2130,tt1356864,I'm Still Here,108.0,"Comedy,Drama,Music",6.2,18606.0,2010-09-10,Magn.,409000.0,160000
2142,tt1361313,The Extra Man,108.0,Comedy,5.9,4580.0,2010-08-01,Magn.,453000.0,4500
2153,tt1365519,Tomb Raider,119.0,"Action,Adventure,Fantasy",6.3,163560.0,2018-03-16,WB,58300000.0,216400000
2157,tt1366344,The Sitter,81.0,Comedy,5.7,65575.0,2011-12-09,Fox,30400000.0,4500000
2159,tt1366365,The Cold Light of Day,93.0,"Action,Thriller",4.9,33039.0,2012-09-06,LG/S,3800000.0,13100000
2160,tt1366409,Miral,112.0,"Drama,History",6.3,3067.0,2010-12-03,Wein.,373000.0,527000
2162,tt1368440,Branded,106.0,"Drama,Fantasy,Thriller",4.7,8480.0,2012-09-07,RAtt.,354000.0,3400000
2175,tt1371111,Cloud Atlas,172.0,"Action,Drama,Mystery",7.4,326473.0,2012-10-26,WB,27100000.0,103400000
2178,tt1371155,Made in Dagenham,113.0,"Biography,Comedy,Drama",7.2,13121.0,2010-11-19,SPC,1100000.0,11300000
2182,tt1373156,Karthik Calling Karthik,135.0,"Drama,Mystery,Thriller",7.0,9257.0,2010-02-26,Eros,286000.0,7100
2189,tt1374989,Pride and Prejudice and Zombies,108.0,"Action,Comedy,Horror",5.8,46187.0,2016-02-05,SGem,10900000.0,5500000
2190,tt1374992,Upside Down,109.0,"Drama,Fantasy,Romance",6.4,66347.0,2013-03-14,MNE,105000.0,8000000
2194,tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066.0,2010-07-16,WB,292600000.0,535700000
2196,tt1375670,Grown Ups,102.0,Comedy,6.0,210377.0,2010-06-24,Sony,162000000.0,109400000
2209,tt1381404,The Company You Keep,125.0,"Drama,Thriller",6.4,29665.0,2013-04-04,SPC,5100000.0,14500000
2225,tt1385826,The Adjustment Bureau,106.0,"Romance,Sci-Fi,Thriller",7.1,227616.0,2011-03-04,Uni.,62500000.0,65400000
2226,tt1385867,Cop Out,107.0,"Action,Comedy,Crime",5.6,81656.0,2010-02-26,WB,44900000.0,10700000
2229,tt1386588,The Other Guys,107.0,"Action,Comedy,Crime",6.7,221664.0,2010-08-06,Sony,119200000.0,51200000
2230,tt1386683,A Somewhat Gentle Man,113.0,"Comedy,Crime,Drama",6.9,6259.0,2010-10-01,Strand,37700.0,1800000
2232,tt1386697,Suicide Squad,123.0,"Action,Adventure,Fantasy",6.0,533039.0,2016-08-05,WB,325100000.0,421700000
2236,tt1389072,Downsizing,135.0,"Drama,Sci-Fi",5.7,74815.0,2017-12-22,Par.,24400000.0,30600000
2241,tt1389127,Texas Killing Fields,105.0,"Crime,Drama,History",5.7,17413.0,2011-10-14,Anch.,45500.0,912000
2242,tt1389137,We Bought a Zoo,124.0,"Comedy,Drama,Family",7.1,126849.0,2011-12-23,Fox,75600000.0,44500000
2243,tt1389139,When the Bough Breaks,107.0,"Crime,Drama,Horror",5.1,4729.0,2016-09-09,SGem,29700000.0,911000
2245,tt1390411,In the Heart of the Sea,122.0,"Action,Adventure,Biography",6.9,108628.0,2015-12-11,WB,25000000.0,68900000
2263,tt1392170,The Hunger Games,142.0,"Action,Adventure,Sci-Fi",7.2,795227.0,2012-03-23,LGF,408000000.0,286400000
2264,tt1392190,Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910.0,2015-05-15,WB,153600000.0,224800000
2265,tt1392197,Marmaduke,87.0,"Comedy,Family",4.2,13283.0,2010-06-04,Fox,33600000.0,50100000
2266,tt1392214,Prisoners,153.0,"Crime,Drama,Mystery",8.1,526273.0,2013-09-21,WB,61000000.0,61100000
2267,tt1392744,Chance Pe Dance,122.0,"Comedy,Drama,Musical",4.7,2501.0,2010-01-15,UTV,169000.0,24300
2281,tt1396218,Mr. Popper's Penguins,94.0,"Comedy,Family,Fantasy",6.0,80540.0,2011-06-17,Fox,68200000.0,119100000
2286,tt1396484,It,135.0,"Horror,Thriller",7.4,359123.0,2017-09-08,WB (NL),327500000.0,372900000
2289,tt1397280,Taken 2,92.0,"Action,Thriller",6.3,273106.0,2012-10-04,Fox,139900000.0,236300000
2291,tt1397514,Journey 2: The Mysterious Island,94.0,"Action,Adventure,Comedy",5.8,83507.0,2012-02-10,WB (NL),103900000.0,231400000
2293,tt1398426,Straight Outta Compton,147.0,"Biography,Drama,History",7.9,165307.0,2015-08-14,Uni.,161200000.0,40400000
2299,tt1399103,Transformers: Dark of the Moon,154.0,"Action,Adventure,Sci-Fi",6.2,366409.0,2011-06-28,P/DW,352400000.0,771400000
2302,tt1399683,Winter's Bone,100.0,"Drama,Mystery",7.2,127751.0,2010-06-11,RAtt.,6500000.0,7300000
2304,tt1401143,Rare Exports: A Christmas Tale,84.0,"Adventure,Fantasy,Horror",6.7,23923.0,2010-12-03,Osci.,236000.0,3800000
2305,tt1401152,Unknown,113.0,"Action,Mystery,Thriller",6.9,235167.0,2011-02-18,WB,63700000.0,67099999
2320,tt1402488,Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396.0,2011-11-17,WB,64000000.0,86400000
2321,tt1403047,Aurora,181.0,Drama,6.7,1398.0,2011-06-29,CGld,5700.0,5100
2344,tt1403865,True Grit,110.0,"Adventure,Drama,Western",7.6,284034.0,2010-12-22,Par.,171200000.0,81000000
2345,tt1403981,Remember Me,113.0,"Drama,Romance",7.1,129443.0,2010-03-12,Sum.,19100000.0,37000000
2371,tt1403988,The Romantics,95.0,"Comedy,Drama,Romance",5.1,11069.0,2010-09-10,FOAK,107000.0,17300
2375,tt1628042,Gone,85.0,Documentary,6.5,104.0,2011-06-27,LG/S,11700000.0,6400000
2383,tt1405500,For Colored Girls,133.0,Drama,6.1,6728.0,2010-11-05,LGF,37700000.0,17300
2390,tt1407061,Just Wright,100.0,"Comedy,Romance,Sport",5.9,12466.0,2010-05-14,FoxS,21500000.0,29900
2392,tt1407084,Twelve,93.0,"Action,Crime,Drama",5.7,11533.0,2010-07-30,Hann.,184000.0,2400000
2403,tt1408101,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535.0,2013-05-16,Par.,228800000.0,238600000
2404,tt1408253,Ride Along,99.0,"Action,Comedy,Crime",6.2,94529.0,2014-01-17,Uni.,134900000.0,19500000
2421,tt1411238,No Strings Attached,108.0,"Comedy,Romance",6.2,197663.0,2011-01-21,Par.,70700000.0,78600000
2422,tt1411250,Riddick,119.0,"Action,Adventure,Sci-Fi",6.4,144821.0,2013-09-06,Uni.,42000000.0,56300000
2425,tt1411697,The Hangover Part II,102.0,"Comedy,Mystery",6.5,432800.0,2011-05-25,WB,254500000.0,332300000
2426,tt1411704,Hop,95.0,"Adventure,Animation,Comedy",5.4,28893.0,2011-04-01,Uni.,108100000.0,75900000
2430,tt1412386,The Best Exotic Marigold Hotel,124.0,"Comedy,Drama,Romance",7.3,85811.0,2012-05-25,FoxS,46400000.0,90400000
2432,tt1412528,Table 19,87.0,"Comedy,Drama,Romance",5.8,22751.0,2017-03-03,FoxS,3600000.0,1400000
2437,tt1413492,12 Strong,130.0,"Action,Drama,History",6.6,50155.0,2018-01-19,WB,45800000.0,21600000
2439,tt1413495,Paranoia,106.0,"Drama,Thriller",5.7,33149.0,2011-06-07,Rela.,7400000.0,6400000
2451,tt1414382,You Again,105.0,"Comedy,Family,Romance",5.8,46690.0,2010-09-24,BV,25700000.0,6300000
2460,tt1417075,In Darkness,145.0,"Drama,War",7.3,9328.0,2011-09-02,SPC,1000000.0,4500000
2466,tt1418377,"I, Frankenstein",92.0,"Action,Fantasy,Horror",5.1,74910.0,2014-01-24,LGF,19100000.0,52100000
2482,tt1421051,Somewhere,97.0,"Comedy,Drama",6.3,40250.0,2010-12-22,Focus,1800000.0,12200000
2486,tt1422032,Even the Rain,103.0,"Drama,History",7.5,11805.0,2011-05-08,Vita.,518000.0,5300000
2494,tt1423995,Stone,105.0,"Drama,Thriller",5.4,38667.0,2010-10-22,Over.,1800000.0,7700000
2500,tt1424381,Predators,107.0,"Action,Adventure,Sci-Fi",6.4,199764.0,2010-07-03,Fox,52000000.0,75200000
2501,tt1424432,Senna,106.0,"Biography,Documentary,Sport",8.6,55318.0,2011-01-21,PDA,1600000.0,6600000
2503,tt1425922,Black Nativity,93.0,"Drama,Family,Music",4.6,1901.0,2013-11-27,FoxS,7000000.0,436000
2507,tt1426329,Lovelace,93.0,"Biography,Drama",6.2,35957.0,2013-08-09,RTWC,357000.0,1200000
2516,tt1428459,We Are Family,115.0,"Drama,Family",5.6,2614.0,2010-09-03,UTV,638000.0,393000
2536,tt1430132,The Wolverine,126.0,"Action,Adventure,Sci-Fi",6.7,401286.0,2013-07-25,Fox,132600000.0,282300000
2537,tt1430607,Arthur Christmas,97.0,"Adventure,Animation,Comedy",7.1,45439.0,2011-11-23,Sony,46500000.0,101000000
2538,tt1430612,Brick Mansions,90.0,"Action,Crime",5.7,37528.0,2014-04-25,Rela.,20400000.0,48500000
2539,tt1430615,Big Miracle,107.0,"Biography,Drama,Family",6.5,17585.0,2012-02-03,Uni.,20200000.0,4600000
2549,tt1431045,Deadpool,108.0,"Action,Adventure,Comedy",8.0,820847.0,2016-02-12,Fox,363100000.0,420000000
2552,tt1431181,Another Year,129.0,"Comedy,Drama",7.3,26273.0,2010-12-29,SPC,3200000.0,16500000
2559,tt1433108,Faster,98.0,"Action,Crime,Drama",6.5,93618.0,2010-11-23,CBS,23200000.0,12400000
2563,tt1433822,The Apparition,83.0,"Horror,Thriller",4.1,18112.0,2012-08-24,WB,4900000.0,4700000
2567,tt1434435,Mother's Day,112.0,"Drama,Horror,Thriller",6.3,15012.0,2010-09-23,ORF,32500000.0,15900000
2584,tt1436045,13 Assassins,141.0,"Action,Adventure,Drama",7.6,58142.0,2011-03-30,Magn.,803000.0,16800000
2588,tt1436562,Rio,96.0,"Adventure,Animation,Comedy",6.9,191621.0,2011-04-15,Fox,143600000.0,341000000
2613,tt1438216,Oranges and Sunshine,105.0,"Drama,History",7.1,4740.0,2011-10-21,Cohen,143000.0,2400000
2615,tt1438254,Charlie St. Cloud,99.0,"Drama,Fantasy,Romance",6.5,55016.0,2010-05-01,Uni.,31200000.0,17000000
2616,tt1438298,Guzaarish,126.0,Drama,7.5,15402.0,2010-11-19,UTV,1000000.0,695000
2622,tt1440129,Battleship,131.0,"Action,Adventure,Sci-Fi",5.8,225342.0,2012-05-18,Uni.,65400000.0,237600000
2627,tt1440161,A Little Bit of Heaven,106.0,"Comedy,Drama,Fantasy",6.3,26441.0,2011-02-03,MNE,15400.0,1300000
2628,tt1440180,Young Goethe in Love,102.0,"Drama,Romance",6.7,2593.0,2011-11-04,MBox,162000.0,5600000
2629,tt1440266,Pina,103.0,"Documentary,Music",7.7,13501.0,2011-12-23,IFC,3500000.0,11100000
2630,tt1440292,Submarine,97.0,"Comedy,Drama,Romance",7.3,79810.0,2011-06-03,Wein.,468000.0,397000
2631,tt1440345,This Must Be the Place,118.0,"Comedy,Drama",6.7,30457.0,2012-11-02,Wein.,144000.0,11600000
